Latitude	Longitude	Name	Dome Camera	Button Camera	Police Box	Notes	Region	URL
42.3556352	-71.0629176	Tremont and Temple 2	1		1		Beacon Hill	https://www.google.com/maps/@42.3556352,-71.0629176,3a,37.2y,315.84h,113.2t/data=!3m6!1e1!3m4!1snQJrJvzA8Ob6ESmlH6y-pA!2e0!7i16384!8i8192
42.3561431	-71.0623755	Tremont and Winter 1	1		1		Beacon Hill	https://www.google.com/maps/@42.3561431,-71.0623755,3a,25.1y,315.71h,112.39t/data=!3m6!1e1!3m4!1sSwYXqprpRu0pNkVZMW9tNQ!2e0!7i16384!8i8192
42.3562902	-71.062225	Tremont and Winter 3	1		1		Beacon Hill	https://www.google.com/maps/@42.3562902,-71.062225,3a,75y,109.81h,90.36t/data=!3m6!1e1!3m4!1sohYUOaXYe3br-LNYebubOA!2e0!7i16384!8i8192
42.3561431	-71.0623755	Tremont 3		1	1		Beacon Hill	https://www.google.com/maps/@42.3561431,-71.0623755,3a,45.4y,123.85h,93.56t/data=!3m6!1e1!3m4!1sSwYXqprpRu0pNkVZMW9tNQ!2e0!7i16384!8i8192
42.3564702	-71.0620193	Tremont and Park 1	3		1		Beacon Hill	https://www.google.com/maps/@42.3564702,-71.0620193,3a,57.5y,274.46h,98.4t/data=!3m6!1e1!3m4!1sB0klxfLh7slS70Zq4T8z0w!2e0!7i16384!8i8192
42.3564702	-71.0620193	Tremont and Park 2	2				Beacon Hill	https://www.google.com/maps/@42.3564702,-71.0620193,3a,88.1y,97.09h,85.67t/data=!3m6!1e1!3m4!1sB0klxfLh7slS70Zq4T8z0w!2e0!7i16384!8i8192
42.3577433	-71.0631921	Beacon and Park	2		1		Beacon Hill	https://www.google.com/maps/@42.3577433,-71.0631921,3a,59.6y,312.35h,116.14t/data=!3m6!1e1!3m4!1sZjByJVX14OJGt-hiHlh9Sw!2e0!7i16384!8i8192
42.356244	-71.0691144	Beacon and Charles 2	1		1		Beacon Hill	https://www.google.com/maps/@42.356244,-71.0691144,3a,75y,126.18h,84.05t/data=!3m6!1e1!3m4!1sOyJxSW1Cl4KQc5sgtYbHyQ!2e0!7i16384!8i8192
42.3554068	-71.072339	Beacon and Arlington 2		1	1		Beacon Hill	https://www.google.com/maps/@42.3554068,-71.072339,3a,28y,286.6h,103.26t/data=!3m6!1e1!3m4!1s1GlQH-TPHo1LW73oT5a3Xg!2e0!7i16384!8i8192
42.3538002	-71.0716001	Arlington		1	1		Beacon Hill	https://www.google.com/maps/@42.3538002,-71.0716001,3a,23.2y,235.89h,98.1t/data=!3m6!1e1!3m4!1sW83AM9vbFMez0w5M9hDxzg!2e0!7i16384!8i8192
